Date,Average Price,Open Price,High Price,Low Price,Last close Price,Last Price,Last Price (adjusted),AdjustmentFactor,Price Change(%),Best bid,Best ask,Trades,Volume,Turnover,CCY
14.10.2013,0.951,0.951,0.960,0.950,0.954,0.960,0.960,1.0000000000,0.63%,0.952,0.960,56,433419,412318.22,EUR
15.10.2013,0.951,0.952,0.955,0.950,0.960,0.950,0.950,1.0000000000,-1.04%,0.950,0.951,38,282072,268556.75,EUR
16.10.2013,0.951,0.950,0.952,0.950,0.950,0.951,0.951,1.0000000000,0.11%,0.950,0.957,33,596048,566835.35,EUR
17.10.2013,0.951,0.960,0.960,0.951,0.951,0.951,0.951,1.0000000000,0.00%,0.942,0.952,14,466309,443461.41,EUR
18.10.2013,0.952,0.951,0.954,0.951,0.951,0.952,0.952,1.0000000000,0.11%,0.952,0.955,19,437222,416137.29,EUR
21.10.2013,0.952,0.952,0.952,0.952,0.952,0.952,0.952,1.0000000000,0.00%,0.952,0.953,28,406131,386636.71,EUR
22.10.2013,0.944,0.953,0.953,0.940,0.952,0.940,0.940,1.0000000000,-1.26%,0.940,0.956,22,205940,194412.20,EUR
23.10.2013,0.955,0.952,0.959,0.952,0.940,0.955,0.955,1.0000000000,1.60%,0.955,0.958,23,99035,94536.86,EUR
24.10.2013,0.963,0.959,0.972,0.959,0.955,0.972,0.972,1.0000000000,1.78%,0.965,0.972,46,283090,272616.51,EUR
25.10.2013,0.964,0.972,0.972,0.962,0.972,0.962,0.962,1.0000000000,-1.03%,0.961,0.962,19,39590,38171.54,EUR
28.10.2013,0.962,0.961,0.964,0.961,0.962,0.962,0.962,1.0000000000,0.00%,0.962,0.963,22,33322,32061.66,EUR
29.10.2013,0.963,0.962,0.965,0.961,0.962,0.965,0.965,1.0000000000,0.31%,0.961,0.965,18,137461,132380.65,EUR
30.10.2013,0.963,0.965,0.965,0.961,0.965,0.963,0.963,1.0000000000,-0.21%,0.961,0.963,9,11101,10689.21,EUR
31.10.2013,0.960,0.961,0.964,0.960,0.963,0.963,0.963,1.0000000000,0.00%,0.961,0.963,13,85444,82040.21,EUR
